truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=0,0.75,15,650,2000,1778902024,2000,0,0.04086856024304862,0.018597194362606824,0.08867229338100835,11.0,0.016923076923076923,0.705,False,0.04367437822221162,True
y=0,0.8,3,650,2000,3940589780,2000,0,0.2512423633761496,0.2148752826681113,0.29279749911105846,67.0,0.10307692307692308,0.669,False,0.25274725274725274,True
y=0,0.8,5,650,2000,3406454635,2000,0,0.14813785913629857,0.11187004638731875,0.191657883471626,38.0,0.05846153846153846,0.681,False,0.14869084794619267,True
y=0,0.8,7,650,2000,2384497211,2000,0,0.08866182607698445,0.05793181782124811,0.13871688621887665,21.0,0.03230769230769231,0.685,False,0.09139529587820036,True
y=0,0.8,9,650,2000,310745480,2000,0,0.05378752960396668,0.028815078995944828,0.1048142009315721,13.0,0.02,0.685,False,0.05724630740588224,True
y=0,0.8,15,650,2000,170849627,1864,136,0.009287925696594427,0.0030911901081916537,0.0523420183749641,3.0,0.004615384615384616,0.656,False,0.014665750106437163,True
y=0,0.85,3,650,2000,829942431,2000,0,0.19971926288511374,0.16474814912744581,0.2470795348293595,39.0,0.06,0.659,False,0.20085470085470092,True
y=0,0.85,5,650,2000,4231305405,2000,0,0.09241725536368393,0.06309885256145373,0.14580448744682623,17.0,0.026153846153846153,0.674,False,0.09497628568399456,True
y=0,0.85,7,650,2000,3406799316,2000,0,0.041032958548111384,0.023993808049535603,0.10020273272606087,8.0,0.012307692307692308,0.685,False,0.04688007264900186,True
y=0,0.85,9,650,2000,1829777116,1949,51,0.01627906976744186,0.008509984161239539,0.08075030291899421,3.0,0.004615384615384616,0.669,False,0.02352582117835669,True
y=0,0.85,15,650,2000,3298846771,652,1348,0.0015408320493066256,0.0,0.01386748844375963,0.0,0.0,0.277,False,0.0030693275336111285,True
y=0,0.9,3,650,2000,1903258540,2000,0,0.13823806080886697,0.111198738170347,0.2019435331001956,18.0,0.027692307692307693,0.649,False,0.14285714285714282,True
y=0,0.9,5,650,2000,1830447103,1991,9,0.03875968992248062,0.027906976744186046,0.10947964966512107,5.0,0.007692307692307693,0.662,False,0.04817207256734473,True
y=0,0.9,7,650,2000,2756601469,1630,370,0.011591962905718702,0.006172839506172839,0.07318952234206472,2.0,0.003076923076923077,0.566,False,0.016879533878684974,True
y=0,0.9,9,650,2000,3580204479,886,1114,0.003852080123266564,0.0007716049382716049,0.031587057010785825,0.0,0.0,0.343,False,0.005993923565503886,True
y=0,0.9,15,650,2000,3823098628,45,1955,0.0,0.0,0.0015408320493066256,0.0,0.0,0.087,False,0.00027503616742025224,True
y=0,0.95,3,650,2000,4206241127,1988,12,0.0687789799072643,0.05503875968992248,0.1918150154798762,5.0,0.007692307692307693,0.634,False,0.07680250783699069,True
y=0,0.95,5,650,2000,1757961908,1021,979,0.01078582434514638,0.00539291217257319,0.020816688542677243,1.0,0.0015384615384615385,0.357,False,0.013779997174284174,True
